history,horizon,station,seed,quantile_bin,count,base_smape_percent,spatial_smape_percent,smape_change_percent_points,base_rmse,spatial_rmse,base_mae,spatial_mae
24,1,9045,7003,1,388,37.324917513514336,36.625531574781064,-0.6993859387332719,9.319023776449258,9.199157862811374,6.301914544449639,6.173227167621102
24,1,9045,7003,2,427,29.35145897723725,28.69947284965783,-0.6519861275794199,12.928793367321036,12.420381059687337,8.507377084021826,8.2317435735841
24,1,9045,7003,3,373,27.501429882792582,27.34560133684876,-0.15582854594382312,14.042633794317345,13.701957319043572,10.27589680362323,10.108296713944094
24,1,9045,7003,4,291,24.7862938008023,25.179797437040225,0.3935036362379236,18.90838340443946,18.598092274142957,12.451455670124068,12.417472295335068
24,1,9045,7003,5,249,23.655968785282283,24.64530247607371,0.9893336907914261,24.534804511319376,24.92247246913825,16.995856756187347,17.477152192448994
24,1,9045,7004,1,388,37.182185253945434,36.53010623907244,-0.6520790148729958,9.094705670641938,8.95973295757068,6.177561873013211,6.062433675392387
24,1,9045,7004,2,427,28.841457131139137,28.287565517941708,-0.553891613197429,12.530462076723863,12.04090443593697,8.250757874035445,7.995176056229817
24,1,9045,7004,3,373,27.506522644979935,27.262167087788413,-0.2443555571915219,13.793171559635256,13.463884937495571,10.1825757371836,10.008835120111623
24,1,9045,7004,4,291,24.137007391751073,24.559236860606582,0.4222294688555088,18.51806522975518,18.275864308669483,12.042772928873697,12.064683501253423
24,1,9045,7004,5,249,22.91675220750202,23.696069514924115,0.7793173074220938,24.116123902780284,24.51872624016883,16.37394324459704,16.756669975188842
24,1,9045,7005,1,388,37.023214434114685,36.67759204484929,-0.3456223892653938,8.928495700273809,8.981157496358387,6.043265824465408,6.087975910029461
24,1,9045,7005,2,427,29.26072972009479,28.216021507966644,-1.0447082121281461,12.513529603073355,12.14293912782555,8.217063729601108,7.994507957119015
24,1,9045,7005,3,373,28.327667145443137,27.46782146627679,-0.859845679166348,13.887967610442278,13.585005448905948,10.32392840858439,10.105696430155163
24,1,9045,7005,4,291,24.979984465402538,24.67325859275408,-0.30672587264845674,18.970262908077128,18.62142242335095,12.33161283932191,12.165812312122883
24,1,9045,7005,5,249,23.772708901517465,23.748627029615395,-0.02408187190206945,24.651291275717654,24.57295864821436,16.77168058678807,16.76993736971813
24,1,9046,7001,1,561,19.316431925902116,20.85550487615498,1.5390729502528657,4.5537998598624645,4.773467466018198,2.5837258357627717,2.8702891106699027
24,1,9046,7001,2,337,12.505637940775872,12.218430053131584,-0.2872078876442874,5.2292605027088515,5.201718442755435,3.678005931639176,3.6846358981259852
24,1,9046,7001,3,339,13.61881720845359,12.611996992898858,-1.0068202155547326,7.545679253344087,7.217554876224172,5.421136479110492,5.111373057407615
24,1,9046,7001,4,262,12.606171700344113,12.466950798737107,-0.13922090160700584,11.599462120893065,11.20106662115065,7.217996473530777,7.142896732301202
24,1,9046,7001,5,229,15.003883858989584,14.904796594900041,-0.09908726408954216,20.067421850887534,19.997487094793225,12.79498363478215,12.817913138710255
24,1,9046,7002,1,561,20.297391279295695,21.80565469566755,1.5082634163718538,4.647383198160166,4.836864588903918,2.7318790592186804,2.962828569871219
24,1,9046,7002,2,337,12.583086457927289,12.182628342731187,-0.40045811519610197,5.177994271747392,5.155697226352798,3.6983431468024097,3.6710787243942127
24,1,9046,7002,3,339,13.793373863769762,12.860521295093855,-0.9328525686759068,7.587332937045825,7.296058325150921,5.48957290761942,5.222769571264936
24,1,9046,7002,4,262,12.896283604677238,12.506066318848791,-0.39021728582844695,11.631959917255623,11.225038273177693,7.358052464841887,7.169184342595457
24,1,9046,7002,5,229,14.981517256456398,14.528205231018207,-0.4533120254381906,19.99715430603172,19.632763813873055,12.749921798706055,12.48342261668376
24,1,9046,7003,1,561,20.46826271678329,21.744689491589074,1.2764267748057847,4.568754059254265,4.699251198304025,2.7754855572433605,2.953242538234554
24,1,9046,7003,2,337,12.946846107051634,12.2268701748258,-0.7199759322258341,5.356572359922644,5.216626302540777,3.8472340863960786,3.6985511327002096
24,1,9046,7003,3,339,13.738490089007508,12.773139976371606,-0.9653501126359014,7.5985553989601256,7.215604639420772,5.495563608355226,5.178336135054057
