task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F11,NO2,3,4,0.0123325539752841,0.0015162358758971095
168h_6h,2060,F11,NO2,3,5,0.025136632844805717,0.00260087288916111
168h_6h,2060,F11,NO2,3,6,0.03974204137921333,0.010592232458293438
168h_6h,2060,F11,NO2,6,1,0.09799149632453918,0.02507605403661728
168h_6h,2060,F11,NO2,6,2,0.011651165783405304,0.00353499804623425
168h_6h,2060,F11,NO2,6,3,0.006066691596060991,0.0008699173340573907
168h_6h,2060,F11,NO2,6,4,0.023329993709921837,0.005120574962347746
168h_6h,2060,F11,NO2,6,5,0.05684763193130493,0.0061355652287602425
168h_6h,2060,F11,NO2,6,6,0.022461460903286934,0.0033028102479875088
168h_6h,2060,F11,NO2,12,1,0.024236878380179405,0.0036990211810916662
168h_6h,2060,F11,NO2,12,2,0.002700912533327937,0.00037042348412796855
168h_6h,2060,F11,NO2,12,3,0.039114754647016525,0.01665763556957245
168h_6h,2060,F11,NO2,12,4,0.009569601155817509,0.002814243081957102
168h_6h,2060,F11,NO2,12,5,0.028658663854002953,0.004664816427975893
168h_6h,2060,F11,NO2,12,6,0.024195397272706032,0.002646152162924409
168h_6h,2060,F11,CO,0,1,0.008515934459865093,0.006202715914696455
168h_6h,2060,F11,CO,0,2,0.008433927781879902,0.0011361469514667988
168h_6h,2060,F11,CO,0,3,0.048279087990522385,0.005229540169239044
168h_6h,2060,F11,CO,0,4,0.018295107409358025,0.006337936967611313
168h_6h,2060,F11,CO,0,5,0.050982844084501266,0.009055043570697308
168h_6h,2060,F11,CO,0,6,0.008678932674229145,0.004572381731122732
168h_6h,2060,F11,CO,1,1,0.0034074976574629545,0.000951864814851433
168h_6h,2060,F11,CO,1,2,0.04533485695719719,0.005997136700898409
168h_6h,2060,F11,CO,1,3,0.007411303464323282,0.0009652750450186431
168h_6h,2060,F11,CO,1,4,0.024217963218688965,0.002351621864363551
168h_6h,2060,F11,CO,1,5,0.01594403199851513,0.004837296437472105
168h_6h,2060,F11,CO,1,6,0.030864154919981956,0.004920314531773329
168h_6h,2060,F11,CO,2,1,0.0003090732789132744,0.00020554880029521883
168h_6h,2060,F11,CO,2,2,0.006569592282176018,0.004103610757738352
168h_6h,2060,F11,CO,2,3,0.03757784143090248,0.00923938024789095
168h_6h,2060,F11,CO,2,4,0.009911910630762577,0.0019883315544575453
168h_6h,2060,F11,CO,2,5,0.013673239387571812,0.009299732744693756
168h_6h,2060,F11,CO,2,6,0.045099008828401566,0.028810977935791016
168h_6h,2060,F11,CO,3,1,0.00032010639552026987,0.00014629717043135315
168h_6h,2060,F11,CO,3,2,0.007006220519542694,0.005003729369491339
168h_6h,2060,F11,CO,3,3,0.020024703815579414,0.0038866864051669836
168h_6h,2060,F11,CO,3,4,0.00664104288443923,0.0013600575039163232
168h_6h,2060,F11,CO,3,5,0.00998662132769823,0.003759861458092928
168h_6h,2060,F11,CO,3,6,0.029199674725532532,0.014629695564508438
168h_6h,2060,F11,CO,6,1,0.002539402572438121,0.0016254561487585306
168h_6h,2060,F11,CO,6,2,0.021605096757411957,0.002411498222500086
168h_6h,2060,F11,CO,6,3,0.018091583624482155,0.0027352056931704283
168h_6h,2060,F11,CO,6,4,0.012098846025764942,0.0011328705586493015
168h_6h,2060,F11,CO,6,5,0.02301342599093914,0.01081010326743126
168h_6h,2060,F11,CO,6,6,0.01610756665468216,0.005483459215611219
168h_6h,2060,F11,CO,12,1,0.0005597720737569034,0.0003222902014385909
168h_6h,2060,F11,CO,12,2,0.005524096544831991,0.0013779664877802134
168h_6h,2060,F11,CO,12,3,0.1094270870089531,0.03007088042795658
168h_6h,2060,F11,CO,12,4,0.004798019304871559,0.00043177089537493885
168h_6h,2060,F11,CO,12,5,0.011424276046454906,0.005333279725164175
168h_6h,2060,F11,CO,12,6,0.017192808911204338,0.004009293392300606
168h_6h,2060,F11,O3,0,1,0.03651762381196022,0.00697804382070899
168h_6h,2060,F11,O3,0,2,0.00435174023732543,0.0003414763486944139
168h_6h,2060,F11,O3,0,3,0.017462583258748055,0.003995404113084078
168h_6h,2060,F11,O3,0,4,0.035473089665174484,0.0022046512458473444
168h_6h,2060,F11,O3,0,5,0.024636132642626762,0.0014253505505621433
168h_6h,2060,F11,O3,0,6,0.006040484178811312,0.0008805025136098266
168h_6h,2060,F11,O3,1,1,0.025470418855547905,0.01667068712413311
168h_6h,2060,F11,O3,1,2,0.023120233789086342,0.0013509808341041207
168h_6h,2060,F11,O3,1,3,0.002748621627688408,0.0008272221894003451
168h_6h,2060,F11,O3,1,4,0.05077432468533516,0.011337333358824253
168h_6h,2060,F11,O3,1,5,0.0075692408718168736,0.000715994683559984
168h_6h,2060,F11,O3,1,6,0.029671357944607735,0.01643688976764679
168h_6h,2060,F11,O3,2,1,0.001320192590355873,0.00045214410056360066
168h_6h,2060,F11,O3,2,2,0.0031529825646430254,0.0016959701897576451
168h_6h,2060,F11,O3,2,3,0.013074547052383423,0.0018345917342230678
168h_6h,2060,F11,O3,2,4,0.02006104774773121,0.003554908325895667
168h_6h,2060,F11,O3,2,5,0.006045440211892128,0.0024972078390419483
